code,name,market
009800,中信NASDAQ,上市
009801,中信美國創新科技,上市
009802,富邦旗艦50,上市
009803,玉山市值動能50,上市
009804,聯邦台精彩50,上市
009805,新光美國電力基建,上市
009806,台新標普500,上櫃
009807,台新標普科技精選,上櫃
009808,華南永昌優選50,上市
009809,富邦淨零ESG50,上市
00980A,主動野村臺灣優選,上市
00980B,台新特選IG債10+,上櫃
00980D,主動聯博投等入息,上櫃
00980T,平衡凱基美國TOP,上櫃
009810,玉山全球藍籌100,上市
009811,統一美國50,上市
009812,野村日本東證,上市
009813,貝萊德標普卓越50,上市
009814,富邦標普500,上櫃
009815,大華美國MAG7+,上櫃
009816,凱基台灣TOP50,上市
009817,國泰日本不動產,上市
009818,華南永昌NASDAQxT,上市
009819,中信數據及電力,上市
00981A,主動統一台股增長,上市
00981B,第一金優選非投債,上櫃
00981D,主動中信非投等債,上櫃
00981T,平衡凱基雙核收息,上市
009820,元大納斯達克精選,上市
00982A,主動群益台灣強棒,上市
00982B,FT投資級債20+,上櫃
00982D,主動富邦動態入息,上市
00982T,平衡兆豐台美動能,上市
00983A,主動中信ARK創新,上市
00983B,大華優利美公債20,上櫃
00983D,主動富邦複合收益,上市
00984A,主動安聯台灣高息,上市
00984B,大華優利美A債15,上櫃
00984D,主動聯博全球非投,上市
00985A,主動野村台灣50,上市
00985B,群益ESG投等債0-5,上市
00985D,主動貝萊德優投等,上櫃
00986A,主動台新龍頭成長,上市
00986B,FT金融債10+,上櫃
00986D,主動復華金融債息,上櫃
00987A,主動台新優勢成長,上市
00987B,野村10+澳洲公債,上櫃
00988A,主動統一全球創新,上市
00988B,玉山嚴選非投債,上櫃
00989A,主動摩根美國科技,上市
00989B,台新美國非投等債,上櫃
00990A,主動元大AI新經濟,上市
00991A,主動復華未來50,上市
00992A,主動群益科技創新,上市
00993A,主動安聯台灣,上市
00994A,主動第一金台股優,上市
00995A,主動中信台灣卓越,上市
00996A,主動兆豐台灣豐收,上市
00997A,主動群益美國增長,上市
00998A,主動復華金融股息,上櫃
01001T,土銀富邦R1,上市
01002T,土銀國泰R1,上市
01004T,土銀富邦R2,上市
01007T,兆豐國泰R2,上市
01009T,王道圓滿R1,上市
01010T,京城樂富R1,上市
01014S,93中信貸a,上櫃
01015S,93中信貸b,上櫃
01016S,93中信貸c,上櫃
01017S,93中信貸d,上櫃
01111S,081中租賃A,上櫃
01112S,081中租賃B,上櫃
01113S,111中租賃A,上櫃
01114S,111中租賃B,上櫃
020000,富邦特選蘋果N,上市
020001,富邦存股雙十N,上櫃
020011,統一微波高息20N,上市
020012,富邦行動通訊N,上市
02001L,富邦蘋果正二N,上市
02001R,富邦蘋果反一N,上市
020020,元大台股領航N,上市
020025,統一亞洲半導體N,上櫃
020027,元大上櫃ESG成長N,上櫃
020028,元大特選電動車N,上市
020029,元大ESG高股息N,上市
020030,統一智慧電動車N,上市
020031,統一IC設計臺灣N,上市
020032,元大綠能N,上市
020033,統一恆生科期N,上櫃
020034,元大IC設計N,上市
020035,元大上櫃ESG高息N,上櫃
020036,元大金融配息N,上市
020037,元大金融高股息N,上市
020038,元大ESG配息N,上市
020039,元大加權N,上市
020040,元大上櫃ESG龍頭N,上櫃
020041,兆豐半導體氣候N,上櫃
030004,欣興凱基54購02,上市
030012,AES凱基57購02,上市
03001T,啟碁台新5A售02,上市
03001U,臺股指凱基57售01,上市
030021,台玻群益56購01,上市
03002T,台積電群益5A售12,上市
030037,景碩群益57購01,上市
03003T,聯發科群益5A售09,上市
030040,群創群益57購01,上市
030044,臻鼎群益57購01,上市
030047,聯茂群益54購01,上市
03004T,臺股指群益5C售05,上市
03005T,臺股指群益5C售06,上市
03006T,臺股指群益5C售07,上市
03006X,元展06,上市
030076,台塑統一56購01,上市
030077,南亞統一56購01,上市
030078,南亞統一56購02,上市
030079,南亞統一59購01,上市
03007T,台灣50元大5B售05,上市
03007X,元展07,上市
030080,台化統一56購01,上市
030081,台玻統一56購03,上市
030082,台玻統一56購04,上市
030083,光寶科統一56購01,上市
030084,台達電統一56購05,上市
030085,金像電統一56購04,上市
030086,全新統一56購05,上市
030087,欣興統一56購03,上市
030088,玉晶光統一59購01,上市
030089,貿聯統一56購04,上市
03008T,臺股指元大5A售29,上市
030090,達興統一59購01,上市
030091,瀚宇博統一57購03,上市
030092,訊芯統一59購01,上市
030093,南電統一57購05,上市
030094,南電統一57購06,上市
030095,南電統一59購02,上市
03009T,聯發科凱基64售03,上市
030103,台灣50元富57購01,上市
030105,聯茂元富54購01,上市
030109,AES元富57購01,上市
03010T,台化凱基5A售05,上市
03010X,元展10,上市
03011T,台積電凱基67售14,上市
030121,億泰國票54購01,上市
030129,欣興國票59購01,上市
03012T,聯發科凱基63售01,上市
03012X,元展12,上市
030130,景碩國票56購01,上市
030135,飛捷國票59購01,上市
03013T,大立光凱基5A售06,上市
03013X,元展13,上市
030145,鴻海統一54購02,上市
030147,川湖群益56購01,上市
03014T,臺股指凱基5A售47,上市
03014X,元展14,上市
030151,聯發科統一54購01,上市
03015T,臺股指凱基5C售16,上市
03015X,元展15,上市
030169,台灣50凱基5B購01,上市
03016T,臺股指凱基5C售17,上市
03016X,元展16,上市
030174,鴻海凱基63購01,上市
03017T,毅嘉國票5A售03,上市
03017X,元展17,上市
030181,欣興凱基54購03,上市
030186,臻鼎凱基54購01,上市
03018T,玉晶光國票5A售03,上市
030190,元債2X元大56購02,上市
03019T,台灣50台新5A售03,上市
03019X,元展19,上市
03020T,台灣50台新5A售04,上市
03020X,元展20,上市
030212,欣興元大56購03,上市
03021T,華泰台新5A售01,上市
030225,AES元大56購03,上市
030229,南電元大57購02,上市
03022T,大立光台新5A售03,上市
03022X,富展01,上市
030230,滬深2X中信55購01,上市
030233,jpp兆豐55購01,上市
030235,南亞富邦55購01,上市
030239,南亞統一58購01,上市
03023T,眾達群益5A售03,上市
030240,南亞統一5A購01,上市
030241,南亞統一62購01,上市
030242,台化統一5A購01,上市
030243,台化統一62購01,上市
030244,台玻統一58購01,上市
030245,台玻統一5A購01,上市
030246,宇隆統一5A購01,上市
030247,長榮太統一56購02,上市
030248,TPK統一58購01,上市
03024T,臺股指群益65售04,上市
030250,同欣電統一5B購01,上市
030251,AES統一5C購01,上市
030256,國喬元富58購01,上市
03025T,T50正2國票5A售05,上市
030261,大成鋼元富55購01,上市
030264,國巨元富58購01,上市
03026T,滬深2X國票5B售01,上市
03026X,元展23,上市
030276,同欣電元富58購01,上市
03027T,華邦電國票5B售02,上市
03027X,元展24,上市
030286,智原國票55購02,上市
03028T,南亞科國票5B售02,上市
03029T,臺股指國票5A售07,上市
03029U,臺股指群益58售02,上市
03029X,元展26,上市
03030T,台灣50台新5A售05,上市
03031T,台灣50台新5A售06,上市
030321,台塑凱基55購01,上市
030326,大成鋼凱基55購01,上市
03032T,國巨台新5A售05,上市
03033T,S&P正2凱基5B售01,上市
030343,AES凱基57購03,上市
030344,南電凱基58購01,上市
030348,滬深2X元大57購03,上市
030349,滬深2X元大58購01,上市
03034T,美費半凱基5A售02,上市
030350,滬深2X元大5A購01,上市
03035T,台積電凱基5A售11,上市
03035X,元展32,上市
03036T,華邦電凱基5A售03,上市
03037T,南亞科凱基5A售03,上市
030388,南電元大58購01,上市
03038T,群創凱基5A售04,上市
03038X,元展35,上市
03039T,臺股指凱基65售03,上市
03039X,元展36,上市
030403,欣興群益55購02,上市
03040T,力積電元大5A售07,上市
030412,台灣50永豐58購01,上市
030413,元金2X永豐58購01,上市
030418,台積電永豐55購04,上市
030425,奇鋐永豐55購01,上市
030439,台積電統一54購01,上市
030460,華城富邦55購01,上市
030461,大成鋼富邦55購01,上市
030463,矽統富邦55購01,上市
030464,台光電富邦56購01,上市
030465,南亞科富邦55購01,上市
030467,奇鋐富邦55購01,上市
030469,AES富邦55購01,上市
030470,AES富邦55購02,上市
03047X,元展44,上市
030481,奇鋐元富58購01,上市
030499,台光電國票5A購01,上市
03049X,元展46,上市
03050X,元展47,上市
